ID_ETABLISSEMENT;Adresse;Commune;Code_postal;Implantations;Concordance_classeur;ID_a_revoir;Position;Adresse_ACT;Latitude;Longitude
ETA-000242;46 Rue D'anvers, 1130 Luxembourg;Luxembourg;L-1130;1;Concordant;;Validé automatiquement;46, Rue d'Anvers 1130 Luxembourg;49.602744897;6.128061892
ETA-000243;46, Rue d'Anvers, L-1130 Luxembourg-Gare;Luxembourg;L-1130;1;Concordant;;Validé automatiquement;46, Rue d'Anvers 1130 Luxembourg;49.602744897;6.128061892
ETA-000244;46 Rue De La Chapelle, 3617 Kayl;Kayl;L-3617;3;Concordant;;Validé automatiquement;46, Rue de la Chapelle 3617 Kayl;49.48546907;6.032431095
ETA-000245;47 Avenue Guillaume, 1651 Luxembourg;Luxembourg;L-1651;1;Concordant;;Validé automatiquement;47, Avenue Guillaume 1651 Luxembourg;49.607214039;6.114564813
ETA-000246;47 Rue Du Golf, 1638 Senningerberg;Niederanven;L-1638;3;Concordant;;Validé automatiquement;47, Rue du Golf 1638 Senningerberg;49.646835764;6.2240595
ETA-000247;47 Rue Jean Jaurès, 3490 Dudelange;Dudelange;L-3490;1;Concordant;;Validé automatiquement;47, Rue Jean Jaurès 3490 Dudelange;49.480122701;6.08216086
ETA-000248;476 route de Thionville, 5886 Hesperange;Hesperange;L-5886;13;Concordant;;Validé automatiquement;476, Route de Thionville 5886 Hesperange;49.571339369;6.159340718
ETA-000249;5 A Laangert, 8117 Bertrange;Bertrange;L-8117;1;Concordant;;Validé automatiquement;5, A Laangert 8117 Bertrange;49.599701659;6.063684976
ETA-000250;5 Avenue Gaston Diderich, L-1420 Luxembourg;Luxembourg;L-1420;1;Concordant;;Validé automatiquement;5, Avenue Gaston Diderich 1420 Luxembourg;49.60996948;6.118039511
ETA-000251;5, beim Schlass, L-8059 Bertrange;Bertrange;L-8059;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000252;5 beim schlass, rue de la fontaine , L-8058 Bertra, 8058 Bertrange;Bertrange;L-8058;1;Concordant;;Résultat sans concordance numéro/rue/code postal;;;
ETA-000253;5, Heienhaff Rez-de-chaussée, Entrée A, 1736 Senningerberg;Niederanven;L-1736;8;Concordant;;Validé automatiquement;5, Heienhaff 1736 Senningerberg;49.636153182;6.22015485
